month,vtuber,avg_viewers
2026-04-01,aoihinodevt,21
2026-05-01,aoihinodevt,24
2026-06-01,aoihinodevt,27
2021-08-01,yumekomoore,15
2021-09-01,yumekomoore,6
2021-10-01,yumekomoore,6
2021-11-01,yumekomoore,9
2021-12-01,yumekomoore,10
2022-01-01,yumekomoore,20
2022-02-01,yumekomoore,50
2022-03-01,yumekomoore,48
2022-04-01,yumekomoore,37
2022-05-01,yumekomoore,35
2022-06-01,yumekomoore,46
2022-07-01,yumekomoore,112
2022-08-01,yumekomoore,250
2022-09-01,yumekomoore,207
2022-10-01,yumekomoore,182
2022-11-01,yumekomoore,165
2023-01-01,yumekomoore,182
2023-02-01,yumekomoore,181
2023-03-01,yumekomoore,156
2023-04-01,yumekomoore,157
2023-05-01,yumekomoore,142
2023-06-01,yumekomoore,179
2023-07-01,yumekomoore,158
2023-08-01,yumekomoore,144
2023-09-01,yumekomoore,243
2023-10-01,yumekomoore,168
2023-11-01,yumekomoore,143
2023-12-01,yumekomoore,133
2024-01-01,yumekomoore,109
2024-02-01,yumekomoore,120
2024-03-01,yumekomoore,149
2024-04-01,yumekomoore,178
2024-05-01,yumekomoore,129
2024-06-01,yumekomoore,130
2024-07-01,yumekomoore,114
2024-08-01,yumekomoore,130
2024-09-01,yumekomoore,143
2024-10-01,yumekomoore,149
2024-11-01,yumekomoore,149
2024-12-01,yumekomoore,153
2025-01-01,yumekomoore,163
2025-02-01,yumekomoore,148
2025-03-01,yumekomoore,128
2025-04-01,yumekomoore,114
2025-05-01,yumekomoore,106
2025-06-01,yumekomoore,100
2025-07-01,yumekomoore,90
2025-08-01,yumekomoore,111
2025-09-01,yumekomoore,75
2025-10-01,yumekomoore,62
2025-11-01,yumekomoore,71
2025-12-01,yumekomoore,64
2026-01-01,yumekomoore,67
2026-02-01,yumekomoore,55
2026-03-01,yumekomoore,60
2026-04-01,yumekomoore,43
2026-05-01,yumekomoore,44
2026-06-01,yumekomoore,51
2019-03-01,mahiruchan,5
2023-04-01,mahiruchan,6
2023-07-01,mahiruchan,5
2023-11-01,mahiruchan,8
2023-12-01,mahiruchan,7
2024-01-01,mahiruchan,9
2024-02-01,mahiruchan,7
2024-03-01,mahiruchan,7
2024-04-01,mahiruchan,9
2024-06-01,mahiruchan,5
2024-07-01,mahiruchan,6
2024-08-01,mahiruchan,6
2024-09-01,mahiruchan,7
2024-10-01,mahiruchan,8
2024-11-01,mahiruchan,10
2024-12-01,mahiruchan,14
2025-01-01,mahiruchan,23
2025-02-01,mahiruchan,14
2025-03-01,mahiruchan,16
2025-04-01,mahiruchan,16
2025-05-01,mahiruchan,17
2025-06-01,mahiruchan,16
2025-07-01,mahiruchan,13
2025-08-01,mahiruchan,12
2025-09-01,mahiruchan,11
2025-10-01,mahiruchan,11
2025-11-01,mahiruchan,11
2025-12-01,mahiruchan,16
2026-01-01,mahiruchan,20
2026-02-01,mahiruchan,18
2026-03-01,mahiruchan,16
2026-04-01,mahiruchan,18
2026-05-01,mahiruchan,16
2026-06-01,mahiruchan,18
2020-10-01,mamilokuchii,12
2020-11-01,mamilokuchii,10
2020-12-01,mamilokuchii,13
2021-01-01,mamilokuchii,45
2021-02-01,mamilokuchii,80
2021-03-01,mamilokuchii,96
2021-04-01,mamilokuchii,94
2021-05-01,mamilokuchii,84
2021-06-01,mamilokuchii,79
2021-07-01,mamilokuchii,83
2021-08-01,mamilokuchii,107
2021-09-01,mamilokuchii,130
2021-10-01,mamilokuchii,141
2021-11-01,mamilokuchii,158
2021-12-01,mamilokuchii,153
2022-01-01,mamilokuchii,237
2022-02-01,mamilokuchii,182
2022-03-01,mamilokuchii,117
2022-04-01,mamilokuchii,115
2022-05-01,mamilokuchii,123
2022-06-01,mamilokuchii,116
2022-07-01,mamilokuchii,110
2022-08-01,mamilokuchii,114
2022-09-01,mamilokuchii,109
2022-10-01,mamilokuchii,124
2022-11-01,mamilokuchii,105
2022-12-01,mamilokuchii,115
2023-01-01,mamilokuchii,131
2023-02-01,mamilokuchii,109
2023-03-01,mamilokuchii,117
2023-04-01,mamilokuchii,109
2023-05-01,mamilokuchii,99
2023-06-01,mamilokuchii,108
2023-07-01,mamilokuchii,115
2023-08-01,mamilokuchii,122
2023-09-01,mamilokuchii,104
2023-10-01,mamilokuchii,116
2023-11-01,mamilokuchii,116
2023-12-01,mamilokuchii,126
2024-01-01,mamilokuchii,137
2024-02-01,mamilokuchii,124
2024-03-01,mamilokuchii,122
2024-04-01,mamilokuchii,201
2024-05-01,mamilokuchii,135
2024-06-01,mamilokuchii,149
2024-07-01,mamilokuchii,154
2024-08-01,mamilokuchii,141
2024-09-01,mamilokuchii,121
2024-10-01,mamilokuchii,117
2024-11-01,mamilokuchii,129
2024-12-01,mamilokuchii,137
2025-01-01,mamilokuchii,141
2025-02-01,mamilokuchii,115
2025-03-01,mamilokuchii,107
2025-04-01,mamilokuchii,108
2025-05-01,mamilokuchii,98
2025-06-01,mamilokuchii,94
